name,activity,location,intimacy,time,kewyords,pic,url,inout
브와두스,cafe,north,,09-23,제주 수제 타르트와 케이크 맛집으로 유명한,https://i.imgur.com/TrEHjNb.png,https://www.instagram.com/voixdoucebakery/,in
어반가라지,cafe,north,,11-19,제주 감귤 창고를 개조한 인테리어가 특색이며 우도 땅콩 아인슈페너가 유명한,https://i.imgur.com/gON13Wy.jpg,,in
니모메 빈티지 라운지,cafe,north,,10-22,해안도로에 위치하고 있어 바다를 보며 커피를 마실 수 있는,https://i.imgur.com/f2XWwn2.jpg,,in
데일리오아시스,cafe,north,,10-19,도민카페로 유명하고 말차 음료들이 유명한,https://imgur.com/IO9lXZU,http://www.instagram.com/dailyoasis_jeju,in
용꽈배기,cafe,north,,08-18,저렴하고도 쫀뜩한 꽈배기가 많은,https://i.imgur.com/IO9lXZU.jpg,,in
제니의 정원,cafe,north,pet,10-18-Tue,넓은 정원과 테라스가 있는,https://i.imgur.com/KuQPWhF.png,http://www.instagram.com/jeju_jennysgarden,in
돌카롱,cafe,north,,10-20,현무암처럼 생긴 마카롱이 특색인,https://i.imgur.com/X7mAEur.png,,in
섬타르,cafe,north,,10-22,다양한 타르트들이 있는,https://i.imgur.com/5YS2BAs.png,http://www.instagram.com/sumtarr,in
아라파파,cafe,north,,08-22,빵과 더불어 수제홍차와 밀크잼이 유명한,https://i.imgur.com/23AlCXo.png,,in
섬마을청년회관,cafe,north,children,9-20-Thu,오메기떡과 간단한 브런치가 있는,https://i.imgur.com/boWje3Q.png,https://www.instagram.com/ydslxcoco/,in
허그데이,cafe,north,pet,9-18-Mon,다양한 뚱카롱을 판매하고 있는,https://i.imgur.com/22cHSkU.jpg,,in
콧수염,cafe,north,,10-21,인스타 핫플레이스로 유명한,https://i.imgur.com/Dp9Rxa1.jpg,https://www.instagram.com/mustache_jeju_island/,out
그러므로part2,cafe,north,,11-19-Mon,인스타 감성 사진으로 유명한,https://i.imgur.com/4DxIlkd.jpg,https://www.instagram.com/glomuro_coffee,in
앙뚜아네트,cafe,north,,9-22-Tue,제주바다를 볼 수 있는,https://i.imgur.com/ViWUIbl.jpg,,in
모찌롱,cafe,north,,10-18,모찌한 쌀 다쿠아즈가 유명한,https://i.imgur.com/48xlMVb.png,,in
제주하멜,cafe,north,,11-18-Wed,치즈케익 맛집인,https://i.imgur.com/UvsPZJ9.png,http://www.instagram.com/jejuhamel,in
Flat 4 Coffee Roasters,cafe,north,pet,10-21,런던 카페 풍의 인테리어가 특색인,https://i.imgur.com/UOVeXJB.png,https://www.instagram.com/flat4coffeeroasters/,in
누옥,cafe,north,,11-18-Tue,크로와상과 에그타르트가 유명한,https://i.imgur.com/KEDOHhN.png,http://instagram.com/nuoc_jeju,in
커피파인더,cafe,north,pet,10-25,참깨라떼가 시그니처 메뉴인,https://i.imgur.com/74kk42O.jpg,https://www.instagram.com/coffeefinder_korea,in
리유니온,cafe,north,,12-24,무화과 타르트와 같은 이색 디저트가 유명한,https://i.imgur.com/HHAznMB.png,https://www.instagram.com/reunion_jejucafe/,in
스테이굿무드,cafe,north,,12-19-Sun,인스타 감성의 한적한 카페를 즐기기 좋은,https://i.imgur.com/luRuny8.png,https://www.instagram.com/by.seop/,in
제주목관아지,historic,north,,09-18,"tv프로그램 ""알쓸신잡2"" 촬영지로 사용되었던 ",https://i.imgur.com/DXstpF7.png,www.jeju.go.kr/mokkwana/index.html,out
관덕정,historic,north,,,"tv프로그램 ""알쓸신잡2"" 촬영지로 사용되었던 ",https://i.imgur.com/0QRXTXo.png,,in
제주향교,historic,north,,,제주도의 가장 오래된 학교이며 다양한 공연이 진행되는,https://i.imgur.com/b5Xtg0P.png,www.jejuhyangkyo.or.kr/,in
오현단,historic,north,,,제주도 보물 1호이며 제주 성지의 흔적인,https://i.imgur.com/IxMBycL.png,,out
동문재래시장,market,north,,09-22,다양한 먹거리가 넘쳐나는 제주시내 가장 큰 시장인,https://i.imgur.com/F2gSAfO.png,http://jejudongmun.modoo.at/,out
오일시장,market,north,,09-18,100년의 역사를 가진 제주시 전통 시장인,https://i.imgur.com/2ZJboP3.png,http://jeju5.market.jeju.kr/,out
야몬딱시장,market,north,,18-22,인스타 감성의 야시장 및 플리마켓으로 유명한,https://i.imgur.com/Nm8OQxn.png,http://www.instagram.com/monddak_market,out
오설록,museum,north,,,제주 녹차밭을 구경하고 녹차 제조를 체험하할 수 있는,https://i.imgur.com/gUAVIhb.jpg,https://www.osulloc.com/kr/ko,in
뽀로로파크,museum,north,children,09-20,아이들이 좋아하는 뽀로로와 타요의 캐릭터 테마파크로 유명한,https://i.imgur.com/2n2sQrL.png,http://pororopark.com/,out
아연네감귤체험,museum,north,,,감귤농장 체험을 할 수 있는,https://i.imgur.com/zHcLqk1.jpg,,out
넥슨컴퓨터박물관,museum,north,children,10-18-Mon,넥슨의 다양한 게임을 체험하며 즐길 수 있는,https://i.imgur.com/jKQDwz0.png,www.nexoncomputermuseum.org/,in
수목원테마파크,museum,north,children,09-21,아이스 뮤지엄 체험 및 초콜렛 만들기 체험을 할 수 있는,https://i.imgur.com/pYGQPiB.jpg,http://www.sumokwonpark.com,in
수목원길 야시장,museum,north,,18-22,푸드트럭과 다양한 포토스팟이 있는,https://i.imgur.com/ifq3D9p.png,,out
아라리오뮤지엄,museum,north,,10-19-Mon,매달 다른 테마의 현대 미술이 전시되는,https://i.imgur.com/k8hLzWS.png,http://www.arariomuseum.org/,in
재밋섬,museum,north,children,,아이들이 실내에서 즐겁게 뛰어놀 수 있는,https://i.imgur.com/RLVtv8k.png,http://www.jamissum.com/,in
용두암,natural,north,,,용머리처럼 생긴 바위와 예쁜 바다로 유명한,https://i.imgur.com/WPQoCtI.png,,in
용연구름다리,natural,north,,19-24,바다와 천이 만나는 지점에 지어진 구름다리이자 야경으로 유명한 ,https://i.imgur.com/h5nArEO.png,,in
도두봉,natural,north,,11-17,높지 않은 오름으로 앞바다와 시내 전경을 볼 수 있는,https://i.imgur.com/XZztlUj.png,,in
한라수목원,natural,north,,09-17,제주도 자생 식물들을 보고 산림욕을 할 수 있는,https://i.imgur.com/doijGi1.png,sumokwon.jeju.go.kr/,in
용담이호해안도로,natural,north,pet,,예쁜 해안을 따라 산책도 할 수 있고 드라이브도 할 수 있는,https://i.imgur.com/hYuGwTX.png,,in
배솔트블루,pub,north,,10-26,프리미엄 맥주와 바다 전경으로 유명한,https://i.imgur.com/ftkPRaR.png,http://blog.naver.com/basaltblue,in
브리즈온,pub,north,,18-25,인스타 감성의 와인 펍으로 유명한,https://i.imgur.com/vEoyJFi.png,http://instagram.com/breeze___on,in
낭만노가리,pub,north,,,"노가리, 먹태 안주로 유명한",https://i.imgur.com/HgcW8xS.png,,in
미도리제주,restaurant,north,family,,생선구이 정식으로 유명한,https://i.imgur.com/Cj0myle.png,,in
자매국수,restaurant,north,,09-26,고기국수 맛집으로 유명한,https://i.imgur.com/OPHHOG9.png,,in
올래국수,restaurant,north,coworker,09-18,고기국수 맛집으로 유명한,https://i.imgur.com/fSohT4u.png,,in
더육정육식당,restaurant,north,coworker,10-23,흑돼지 정육식당으로 유명한,https://i.imgur.com/BfgRl2s.png,,in
갈치어장,restaurant,north,,10-21,모두들 인생갈치라고 손꼽는,https://i.imgur.com/1M1vkv5.png,,in
우진해장국,restaurant,north,,6-22,수요미식회에 출연할만큼 고사리육개장과 몸국이 유명한,https://i.imgur.com/fzZo1II.png,,in
동도원,restaurant,north,,8-20,고등어 조림으로 유명한,https://i.imgur.com/Qmj4tvo.png,,in
해녀와 바다,restaurant,north,coworker,10-22,통갈치요리와 회코스가 주력 메뉴인,https://i.imgur.com/G9TJ0Sb.png,,in
제주도김만복,restaurant,north,,08-20,영양가 있고 이색적인 제주도 김밥을 먹을 수 있는,https://i.imgur.com/wnV9krB.png,http://10000bok.com/review/,in
서서방숯불닭갈비,restaurant,north,,11-19,제주 토종닭을 이용한 닭갈비가 유명한,https://i.imgur.com/Pdp3U3c.png,https://seoseobang.modoo.at,in
칠성골흙돼지,restaurant,north,,11-24,흙돼지 구이를 좀 안다하는 제주도민 사이에서 유명한,https://i.imgur.com/moopvJE.png,http://cspig.co.kr,in
어마장장,restaurant,north,,09-20,착한 가격의 푸짐한 전복 뚝배기가 유명한,https://i.imgur.com/r2pF4CG.png,,in
순옥이네 명가,restaurant,north,,09-20,직접 물질한 전복으로 만든 물회가 일품인,https://i.imgur.com/UIOpJtL.png,,in
제주순풍,restaurant,north,children,06-22,"해장국, 갈치조림, 고등어 조림 등의 제주 가정식이 유명한",https://i.imgur.com/TjsWsHh.png,,in
동문재래시장,shopping,north,,09-22,다양한 먹거리가 넘쳐나는 제주시내 가장 큰 시장인,https://i.imgur.com/F2gSAfO.png,http://jejudongmun.modoo.at/,out
오일시장,shopping,north,,09-18,100년의 역사를 가진 제주시 전통 시장인,https://i.imgur.com/2ZJboP3.png,http://jeju5.market.jeju.kr/,out
야몬딱시장,shopping,north,,18-22,인스타 감성의 야시장 및 플리마켓으로 유명한,https://i.imgur.com/Nm8OQxn.png,http://www.instagram.com/monddak_market,out
돌코롬마켓,shopping,north,,10-21,"선물하기 딱 좋은 한라봉, 천혜향 등을 저렴하게 구매할 수 있는",https://i.imgur.com/b86qS3O.png,http://www.instagram.com/dolcorom_market,in
카카오프렌즈,shopping,north,,10-20,제주 한정의 카카오 프렌즈 굿즈를 구매할 수 있는,https://i.imgur.com/DwXrByS.png,,in
모이소,shopping,north,,10-22,제주도 특색의 아기자기한 소품들로 유명한,https://i.imgur.com/yqaX47p.png,,in
JDC면세점,shopping,north,,,여러 명품 브랜드들의 상품을 면세가로 구매할 수 있는,https://i.imgur.com/TIpcVCu.jpg,http://www.jdcdutyfree.com/,in
마음에온,cafe,north,pet,10-21,빈티지한 가옥같은 인테리어가 돋보이는,https://i.imgur.com/6axV1vL.png,https://www.instagram.com/oncafe0707/,in
미스칠,restaurant,north,coworker,09-21,제주 향토 음식으로 유명한,https://i.imgur.com/ogDUqma.png,http://mis7.snname.com,in
앞 뱅디 식당,restaurant,north,,09-21-Sun,TV 프로그램에도 나오는 멸치 요리가 유명한,https://i.imgur.com/fbPUFlh.png,,in
중앙로,shopping,north,,,도민 주요 쇼핑 지역으로 유명한,https://i.imgur.com/ZeFihQB.png,,out
중앙로 골목식당,market,north,,,시내에 있는 전통 시작으로 유명한,https://i.imgur.com/ZeFihQB.png,,out
